Marital status,Application mode,Application order,Course,Day/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
Single,8,5,Animation and Multimedia Design,Day,Secondary education,Portuguese,General commerce course,Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling,"Personal Services, Security and SafetyWorkers, and Sellers",Unskilled Workers,yes,no,no,yes,male,no,20,no,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
Single,6,1,Tourism,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Higher Education—degree,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,yes,no,no,no,male,no,19,no,0,6,6,6,14,0,0,6,6,6,13.66666667,0,13.9,-0.3,0.79,Graduate
Single,1,5,Communication Design,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,no,male,no,19,no,0,6,0,0,0,0,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
Single,8,2,Journalism and Communication,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,"Personal Services, Security and SafetyWorkers, and Sellers",Intermediate Level Technicians and Professions,yes,no,no,yes,female,no,20,no,0,6,8,6,13.42857143,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
Married,12,1,Social Service (evening attendance),Evening ,Secondary education,Portuguese,General Course of Administration and Commerce,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,45,no,0,6,9,5,12.33333333,0,0,6,6,6,13,0,13.9,-0.3,0.79,Graduate
Married,12,1,Management (evening attendance),Evening ,Basic education Higher educationÑdegreerd cycle (OtherÑSecondary educationSecondary educationth Yr of schoolingth/Secondary education0th Yr of schoolingth/Secondary education0th Yr of schoolingth Yr of schoolingÑnot completedth year) or equivalent,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",no,no,yes,yes,male,no,50,no,0,5,10,5,11.85714286,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
Single,1,1,Nursing,Day,Secondary education,Portuguese,General commerce course,Basic Education Higher Education—bachelor’s degreend Cycle (Frequency of Higher Educationth/Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth/Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schooling—not completedth Year) or equivalent,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,yes,no,no,yes,female,yes,18,no,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
Single,9,4,Tourism,Day,Secondary education,Portuguese,General Course of Administration and Commerce,Basic education Secondary Education—12th Year of Schooling or Equivalentst cycle (Higher Education—master’s degreeth/Higher Education—doctorateth year) or equivalent,Unskilled Workers,Unskilled Workers,yes,no,no,no,male,no,22,no,0,5,5,0,0,0,0,5,5,0,0,0,15.5,2.8,-4.06,Dropout
Single,1,3,Social Service,Day,Secondary education,Romanian,Secondary Education—12th Year of Schooling or Equivalent,Secondary Education—12th Year of Schooling or Equivalent,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,21,yes,0,6,8,6,13.875,0,0,6,7,6,14.14285714,0,16.2,0.3,-0.92,Graduate
Single,1,1,Social Service,Day,Secondary education,Portuguese,Secondary Education—12th Year of Schooling or Equivalent,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",yes,no,yes,no,female,no,18,no,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
Single,1,1,Advertising and Marketing Management,Day,Secondary education,Portuguese,Supplementary Accounting and Administration,Basic Education Higher Education—degreerd Cycle (Secondary Education—12th Year of Schooling or EquivalentHigher Education—bachelor’s degreeth Year of Schooling—not completedth Year (Old)th/Other—Secondary Education—12th Year of Schooling or EquivalentSecondary Education—12th Year of Schooling or Equivalentth Year of Schoolingth/Higher Education—bachelor’s degreend year complementary high school courseth Year) or Equivalent,"Personal Services, Security and SafetyWorkers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",yes,no,no,yes,female,no,18,no,0,6,6,6,12.33333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
