"student_outcome","gender","course","nationality","avg_age_at_enrollment","avg_1st_sem_grade","avg_2nd_sem_grade","avg_units_approved_1st_sem","avg_units_approved_2nd_sem"
"Dropout","female","Agronomy","Brazilian","29.0000000000000000","14.33333333","14","3.0000000000000000","1.00000000000000000000"
"Dropout","female","Journalism and Communication","Colombian","19.0000000000000000","13.16666667","13","6.0000000000000000","6.0000000000000000"
"Dropout","male","Management","Brazilian","26.0000000000000000","13","14","6.0000000000000000","2.0000000000000000"
"Dropout","female","Tourism","Santomean","20.0000000000000000","12.33333333","0","3.0000000000000000","0.00000000000000000000"
"Dropout","female","Veterinary Nursing","Brazilian","18.0000000000000000","12.25","11","4.0000000000000000","5.0000000000000000"
"Dropout","female","Journalism and Communication","Lithuanian","19.0000000000000000","12.2","11.75","5.0000000000000000","4.0000000000000000"
"Dropout","female","Basic Education","Moldova (Republic of)","33.0000000000000000","12.16666667","11","6.0000000000000000","3.0000000000000000"
"Dropout","female","Nursing","Brazilian","33.0000000000000000","12.16","11.34","5.0000000000000000","5.0000000000000000"
"Dropout","female","Journalism and Communication","Russian","18.0000000000000000","12","11","6.0000000000000000","2.0000000000000000"
"Dropout","female","Biofuel Production Technologies","Portuguese","34.0000000000000000","12","11","10.0000000000000000","5.0000000000000000"
"Dropout","female","Equiniculture","Brazilian","26.0000000000000000","12","0","2.0000000000000000","0.00000000000000000000"
"Dropout","female","Oral Hygiene","Ukranian","18.0000000000000000","12","0","4.0000000000000000","0.00000000000000000000"
"Dropout","female","Nursing","Guinean","23.0000000000000000","11.32857143","11.32857143","7.0000000000000000","7.0000000000000000"
"Dropout","male","Advertising and Marketing Management","Brazilian","18.0000000000000000","11.25","12.33333333","4.0000000000000000","3.0000000000000000"
"Dropout","male","Biofuel Production Technologies","Brazilian","35.0000000000000000","11.25","0","3.0000000000000000","0.00000000000000000000"
"Dropout","female","Management (evening attendance)","Brazilian","34.0000000000000000","10.5","11","2.0000000000000000","1.00000000000000000000"
"Dropout","female","Communication Design","Portuguese","21.5909090909090909","10.250445632727272","7.72121212090909","4.4545454545454545","3.4090909090909091"
"Dropout","female","Management","Angolan","22.0000000000000000","10","13","1.00000000000000000000","2.0000000000000000"
"Dropout","female","Oral Hygiene","Portuguese","29.5789473684210526","9.64125313263158","5.546052631578948","3.0000000000000000","2.1578947368421053"
"Dropout","female","Basic Education","Portuguese","23.0375000000000000","9.616877081375002","8.035044192","3.9875000000000000","2.9750000000000000"
"Dropout","female","Advertising and Marketing Management","Portuguese","22.0500000000000000","9.53729166675","7.186488095","2.8000000000000000","2.4500000000000000"
"Dropout","male","Basic Education","Portuguese","19.5000000000000000","9.4666666675","6.175","3.7500000000000000","2.7500000000000000"
"Dropout","female","Journalism and Communication","Cape Verdean","19.6666666666666667","9.333333333333334","4.083333333333333","2.0000000000000000","1.3333333333333333"
"Dropout","female","Journalism and Communication","Portuguese","20.0925925925925926","9.118474427222221","6.985934744074074","3.4629629629629630","2.6666666666666667"
"Dropout","male","Communication Design","Portuguese","24.6551724137931034","8.390789861724139","5.918472906551726","3.4482758620689655","2.5172413793103448"
"Dropout","female","Veterinary Nursing","Portuguese","24.0862068965517241","8.317590312068967","6.629166666724139","2.4137931034482759","1.8275862068965517"
"Dropout","female","Equiniculture","Portuguese","22.8857142857142857","8.250566893714288","7.567619047714285","2.6285714285714286","2.1142857142857143"
"Dropout","male","Journalism and Communication","Portuguese","25.5609756097560976","7.987514518048781","5.846457607317074","2.7317073170731707","2.0487804878048780"
"Dropout","female","Management","Portuguese","26.8461538461538462","7.974962537692308","6.150159135961538","2.7692307692307692","2.0961538461538462"
"Dropout","male","Advertising and Marketing Management","Portuguese","25.6981132075471698","7.93270440226415","5.84721473509434","2.3018867924528302","1.8301886792452830"
"Dropout","female","Tourism","Portuguese","22.5686274509803922","7.844351074117647","6.215032679607843","2.7450980392156863","1.7450980392156863"
"Dropout","female","Nursing","Portuguese","24.8076923076923077","7.808447496923075","6.886118182564102","3.2179487179487179","2.9615384615384615"
"Dropout","male","Social Service","Portuguese","25.7272727272727273","7.685822510454545","5.540151515","2.6363636363636364","1.6818181818181818"
"Dropout","male","Equiniculture","Portuguese","26.0769230769230769","7.617612942307692","6.538888888974358","2.2820512820512821","1.6153846153846154"
"Dropout","male","Nursing","Portuguese","26.5135135135135135","7.6065508364864876","5.708840090270269","2.8108108108108108","2.4054054054054054"
"Dropout","male","Agronomy","Portuguese","29.2173913043478261","7.511420624492752","5.567408557826087","2.7101449275362319","2.1304347826086957"
"Dropout","male","Veterinary Nursing","Portuguese","26.8387096774193548","7.413978494516129","6.0118279570967745","2.4838709677419355","1.4838709677419355"
"Dropout","male","Oral Hygiene","Portuguese","30.8333333333333333","7.242361111666667","4.175694444166667","1.5833333333333333","0.83333333333333333333"
"Dropout","female","Social Service (evening attendance)","Portuguese","34.5000000000000000","6.926868810000001","5.245429159259259","2.7037037037037037","1.8518518518518519"
